企業名,勤務地,給与,初年度年収
ノーバジェット株式会社 ,——*◆ 秋葉原・岩本町から徒歩5分以内の好立地です ◆*—— 東京都千代田区神田須田町2丁目25…,月給25万円〜43万円＋諸手当 ※経験・スキルを考慮の上、当社規定により優遇 ※試用期間3ヶ月あり。待遇…,350万円～600万円
ヤフー株式会社 ,【紀尾井町オフィス】 東京都千代田区紀尾井町1-3 東京ガーデンテラス紀尾井町 【大阪グランフロン…,月給：28万円〜57万円 ※経験、業績、スキル、貢献に応じて、同社規定により優遇します。 ※6ヶ月間の試…,400万円～800万円
パーソルテンプスタッフ株式会社 ,東京都、神奈川県、大阪府、京都府、兵庫県、愛知県の大手・優良企業 ★転居を伴う転勤はありません ★…,【東京】月給20万9700円以上＋賞与年2回 【神奈川】月給20万円以上＋賞与年2回 【大阪】月給19万7400円以…,250万円～350万円
トランスコスモス株式会社 ,【渋谷ファーストタワーまたは都内を中心としたお客様企業】 現在、キックオフなど必要な時を除き、 業…,大卒：月給20万2000円以上 短大・専門学校卒：月給17万6500円以上 ※試用期間3ヶ月／条件変更無 ※別途…,350万円～600万円
株式会社内藤一水社 ,＜「梅田」駅・「大阪」駅・「淀屋橋」駅・「肥後橋」駅からアクセス良好／転勤なし＞ ■大阪支社 大阪…,"月給22万8400円以上 ※経験、年齢等を考慮し、決定いたします ※上記月給には固定残業代（16,400円／10時…",初年度年収のデータなし
株式会社コミットグロース ,＊---アクセス抜群！「大手町駅」より徒歩4分---＊ ☆100％自社内勤務（客先常駐はありません…,【未経験者】 月給22万1500円〜＋各種手当＋賞与（業績連動） 【経験者】 月給25万円〜＋各種手当＋賞与…,300万円～600万円
株式会社アド・トップ ,東京都中央区築地4-1-17　銀座大野ビル8階 【アクセス】 ・各線「東銀座駅」より徒歩2分 ・東…,"月給22万3,900円〜26万3,700円 ※固定残業代(5万7,400円〜6万7,600円 / 45時間相当分)を含みます ※時間…",250万円～300万円
竹田工務店株式会社 ,【リモートワーク実施中です】 兵庫県明石市貴崎3丁目16番29号 ★転勤なし ★UIターン歓迎／引…,月給20万円以上+諸手当 ★あなたの経験や能力などをもとに決定します ★試用期間中(3か月)も待遇に変更は…,270万円～450万円
株式会社 ＨＡＬ ,《リモートワーク可／会社都合による転勤は一切なし！》 ☆本人のご希望・居住地を考慮し、案件をご案内…,≪関東・関西・東海エリア≫ 月給35万円〜(開発経験5年以上) 月給30万円〜(3年以上) 月給27万円〜(3年未…,350万円～850万円
TDCX Japan株式会社 ,【リモートワーク募集】 ★月1回横浜オフィスへ出社いただきます ★転勤なし ★在宅勤務手当あり 本…,【月給25万円〜26万5000円】+インセンティブ(毎月)＋時間外手当100％支給 ※前職給与・経験・年齢・能力…,318万円～400万円
プロンプト・Ｋ株式会社 ,◇転勤なし！ ◇UIターン歓迎！ 【 東京オフィス 】 東京都品川区西五反田1丁目11番1号 アイ…,【経験者】月給24万円〜36万円 + 諸手当 【未経験者】月給21万円〜36万円 + 諸手当 ※年齢、経験、能力を…,360万円～540万円
NTTデータカスタマサービス株式会社 ,★配属は希望を考慮・I/Uターン歓迎 ★在宅勤務OK 東京・青森・宮城・大阪・香川いずれかでの拠点…,月給20万円〜45万円 【月収例】 月収32万円＝月給24.5万円+時間外手当4.2万円+住宅補助費3.3万円 ※経験…,430万円～650万円
エクスピーズ株式会社 ,＊【フルリモートワークです】 ＊ＵＩターン歓迎！ ◆メイン勤務先 東京都新宿区西新宿1-5-11…,◆月給25万円〜40万円 + インセンティブ ※前職給与や経験を考慮します。 ※40時間分のみなし残業代（6…,400万円～550万円
株式会社ナサ ,＼今年5月に拡大移転の新拠点で活躍！／ 埼玉県戸田市戸田市新曽218,月給25万円＋賞与年2回（年平均4.9ヶ月分） ※経験・スキル等を考慮し、弊社規定により決定いたします。…,400万円～500万円
株式会社Y’s＆partners ,【転勤なし／「六本木」「青山一丁目」駅チカ★】 本社／東京都港区南青山1−15−9 第45興和ビル…,月給24万円以上＋インセンティブボーナス（毎月のチーム業績連動） ※これまでの経験・意欲・前職給与を…,300万円～500万円
株式会社情熱キャリア ,希望を考慮し、各拠点へ配属となります。 【難波営業所】 大阪府大阪市中央区難波5-1-60 なんば…,月給26万円〜45万円 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※上記には一律手当てが含ま…,350万円～600万円
インプレイス株式会社 ,《原則本社勤務》 ★複数駅利用可でアクセス抜群！ ★転勤なし！ ★引っ越し費用補助あり！ 【本社】…,月給:30万円以上＋各種手当＋賞与（業績に応じて） ※経験・年齢・前給等を考慮の上、優遇します。 ※固…,400万円～700万円
株式会社ディグラ ,☆フルリモート！自宅で働けます☆ 全国どこからでもご応募お待ちしています！ ▼本社 東京都港区赤坂…,月給30〜60万円 ★上記金額はスタート時の金額です。 ★経験・スキル等を考慮の上、当社規定により優遇し…,370万円～920万円
株式会社リロパートナーズ ,＼長町店積極募集／ ＜宮城県内の各店舗＞ ※リロパートナーズ各社への出向となります。 ※勤務地は希…,"月給：210,000円〜350,000円 ※経験・資格を考慮し、当社規定により決定いたします。 ※上記給与には一律…",初年度年収のデータなし
ミックスピース株式会社 ,【在宅勤務OK】★駅近★新御徒町徒歩1分／蔵前駅徒歩6分 ■東京都台東区浅草橋3-33-5 ホーユ…,月給22万円〜25万円 ※経験・能力を考慮の上、当社規定により優遇します。 ※試用期間3カ月（試用期間は…,初年度年収のデータなし
グルーコード株式会社 ,【本社】 東京都渋谷区渋谷3-10-19　渋谷MJ-2ビル6F ＜交通アクセス＞ 各線「渋谷駅」1…,■月給25万円以上 ※※当社給与規程に準じて能力や適性、経験を考慮し決定します。 上記給与にはみなし残…,300万円～600万円
アデコ株式会社 ,★転勤なし ★首都圏または関西・東海エリア限定採用 各エリア内の大手・優良企業での勤務となります。…,月給23万9000円〜83万9000円 ＋ 残業代1分単位支給 ＋ 賞与（年2回） 【モデル月収例】 ・20代(構築経験…,350万円～1000万円
スピンシェル株式会社 ,【転勤なし】 ★現在リモートワーク実施中 ★「後楽園」「飯田橋」の2駅6路線からアクセス◎ ★UI…,【月給35万円〜40万円】 ★前職給与・経験・スキル・年齢等を考慮の上、優遇します。 ★上記には月45hの…,420万円～600万円
レック・テクノロジー・コンサルティング株式会社 ,【転居を伴う転勤なし／ほぼフルリモート勤務】 ※勤務地は希望を考慮します！ 【勤務地】 ◆自社作業…,"月給26万円以上＋諸手当＋賞与年2回 ★前職からの給与UP保証 ★残業代は別途100%支給 【""前職給与以上""…",400万円～1000万円
株式会社アイエスエフネット ,【札幌限定採用】 ＜札幌支店＞ 北海道札幌市中央区北1条西3条3丁目 ばらと北1条ビル5階 ---…,月給25.5万円以上 -------------------------------------------- ※経験・スキルを考慮して決定 ※月給…,306万円～500万円
株式会社CyberOwl ,★転勤なし ★綺麗なオフィス♪駅直結の「渋谷スクランブルスクエア」 ◆本社 東京都渋谷区渋谷2-2…,月給34万円〜 ※給料額は、経験やスキルなど考慮のうえ決定いたします。 ※試用期間3か月あり。期間中の…,408万円～540万円
株式会社クロスパワー ,各プロジェクト先での勤務になります。 【本社】 東京都千代田区神田佐久間町1-9 ＜交通アクセス＞…,＜監視の経験がある方＞ 月給22万円〜 ※みなし残業代12時間分/2万625円〜を含む。超過残業代は別途支給…,350万円～550万円
株式会社アミューズ ,本社（東京オフィス）／東京都渋谷区桜丘町20番1号 アミューズ ヴィレッジ（山梨県・西湖オフィス）…,完全年俸制／300万円以上 ※前職給与・経験・能力などを考慮の上、当社規定により決定します。 【正社員…,300万円～600万円
株式会社公文教育研究会 ,★転勤なし ★東京駅・大手町駅直結 ★丸の内センタービル18階の眺めの良いオフィス勤務 【事務業務…,◆時給1500円＋賞与年2回＋残業代全額支給 《月収例》 ◆月収22万5000円〜24万7500円 時給1500円×7.5…,300万円～330万円
市場株式会社 ,《基本的に転勤なし／兵庫本社、または東京で活躍！》 ★テレワークもOK／U・Iターン歓迎！ 《本社…,◆月給30万円〜40万円 + 諸手当 ※年齢・経験・スキルを十分考慮の上、 　当社規定により優遇いたします…,450万円～600万円
株式会社Grabit ,★「東長崎」駅より徒歩1分の好立地！ 【本社】 東京都豊島区長崎４-９-５ フェイマスショップビル…,月給22万円以上 + 賞与（業績により） + 諸手当 ※経験・能力を考慮し、決定いたします。 ※試用期間6ヶ…,260万円～400万円
株式会社サイバー・コミュニケーションズ ,東京本社（東京都中央区築地1-13-1「築地松竹ビル」） ※株式会社DataCurrentに出向…,"月給300,000円〜400,000円 ※経験や能力を考慮の上決定 ※固定残業代（20時間分、月37,500円〜月50,000円…",515万円～659万円
株式会社アルファステップ ,株式会社アルファステップ 東京都新宿区西新宿1-25-1　新宿センタービル31階,"・正社員 【月給】350,000円〜 ※試用期間6ヶ月（待遇は変更なし）",400万円～600万円
CROOZ SHOPLIST株式会社 ,【本社】 東京都品川区西品川1-1-1　大崎ガーデンタワー20階,年俸制　400万円〜 ※経験・能力などを考慮し決定いたします。 ※年俸の12分の1を毎月支給します。 ※上…,初年度年収のデータなし
Dreamcloud株式会社 ,★転勤なし／オフィスは青山（外苑前、表参道）！ ■東京本社／東京都港区北青山2丁目14-4 the…,月給：27万円 (見込み残業代40時間分／7万円を含む) ※超過分は別途支給 2年目以降　月給：30万円以上 (…,370万円～400万円
株式会社創源 ,★転勤なし！ ★リモートワーク（在宅ワーク）＆フレックス勤務も可能！ ★馬喰町駅など５駅使える好立…,月給24万〜30万円以上＋残業代全額支給 ■PG：月給24万円以上 ■PL候補：月給27万円以上 ■PM候補：月給…,330万円～700万円
アイスター株式会社 ,■大阪府内のプロジェクト先,月給27万円以上 【モデル月給例】 月給27万円／経験10年 ※但し、年齢・経験・能力を考慮の上、決定し…,450万円～500万円
株式会社セイファート ,★最寄り駅徒歩5分圏内のオフィス ★直行直帰・テレワークもOK！ 希望を考慮し、東京、名古屋、大阪…,"月給256,760円以上＋賞与年2回 ※入社後、試用期間が2ヶ月間あります（期間中の待遇に変更はありません…",300万円～450万円
フォーザウィン株式会社 ,【転勤なし／希望を考慮】東京本社・渋谷支店・大阪支店・名古屋支店・群馬支店、または各プロジェクト先…,月給28万円〜 【前給以上を必ず保証します】 ※上記の金額に経験・能力等を考慮し加給します。 ※試用期…,450万円～1000万円
株式会社サテライトオフィス ,【週の半分はテレワークを実施！】 東京都江東区東陽4-3-1 東陽町信栄ビル4階 東西線「東陽町駅…,年俸制:400万円〜1000万円 ※16分割での支給となります 。 ※経験・スキルに応じ、当社規定内で決定しま…,400万円～1000万円
株式会社CYLOOK ,【転勤なし／駅近オフィス】 東京都港区六本木四丁目2-45 高會堂ビル2階 〜アクセス〜 ・各線『…,月給32万円〜50万円 ※経験・スキルなどを考慮のうえ、決定いたします。 ※固定残業代（25時間分／5万円…,384万円～600万円
株式会社日本アルトマーク ,【リモートワーク推進中／転勤なし】 JR「田町駅」直結、都営地下鉄「三田駅」より徒歩1分！ 本社／…,月給20万6000円〜22万5000円+残業代+諸手当 ＜月収例：23万円／入社1年目（残業代+諸手当含む）＞ ※上…,初年度年収のデータなし
株式会社アイシーイノベーション ,★転居を伴う転勤なし 東京都内（主に23区内）のプロジェクト先に勤務していただきます。 勤務地の希…,"月給250,000円〜390,000円 ※スキル・経験を考慮し当社規定により決定します ※上記給与には20時間分の固…",350万円～530万円
株式会社アクアリーフ ,神奈川県平塚市八重咲町7-28 神奈中八重咲町ビル4F 《アクセス》 JR『平塚駅』西口改札より徒…,月給18万円〜35万円 ※経験・能力・年齢等を考慮の上、当社規定により優遇します。 ※別途残業手当支…,300万円～400万円
株式会社ネスタ,東京都杉並区和田3丁目41−14 リモートワークのため、裁量を持って働くのも可能となります！,月給25万~30万円＋賞与年1回 　※経験・年齢を考慮の上、当社規定により優遇します。,300万円～500万円
株式会社エムズコーポレーション ,★2拠点同時募集★ 《名古屋本社》 or 《東京（神楽坂）オフィス》 ◎UIターン大歓迎 ◎勤務地…,【月給20万4000円〜＋諸手当＋賞与（年2回）】 ※あなたの年齢・スキル・経験を考慮の上、決定いたします…,250万円～500万円
株式会社サテライトオフィス ,【週の半分はテレワークを実施！】 東京都江東区東陽4-3-1 東陽町信栄ビル4階 東西線「東陽町駅…,年俸制:400万円〜1000万円 ※16分割での支給となります 。 ※経験・スキルに応じ、当社規定内で決定しま…,400万円～1000万円
株式会社ロジック ,官公庁や一部上場企業など、東京都・神奈川県横浜市の各プロジェクト先 ※転勤なし 【本社】 東京都千…,"月給220,000円〜360,000円 ※あなたの能力・経験・年齢を考慮の上、決定いたします。 ※試用期間3ヵ月間…",200万円～450万円
株式会社ネスタ ,【ママプラスカフェ 東高円寺】東京都杉並区 和田3丁目41−14,月給25万~30万円＋賞与年1回 　※経験・年齢を考慮の上、当社規定により優遇します。,300万円～500万円
株式会社マイベスト ,【本社】 東京都中央区築地2-11-13 アーバンネット築地第1ビル・第2ビル ＜交通アクセス＞…,月給：23万770円以上 ※経験・能力・スキル等を考慮の上、当社規定により決定します。 ※固定残業代45時…,300万円～450万円
株式会社フレキシブル ,《転勤なし／渋谷駅からアクセス良好♪》 ◆本社 東京都渋谷区道玄坂2-10-10 世界堂ビル3階…,月給24万円〜30万円＋賞与年2回＋諸手当 ※経験・スキル・年齢等を考慮し、当社規定により決定します。 …,300万円～400万円
アパルトマンイクシーズ株式会社 ,【本社】 大阪府吹田市垂水町3丁目33-17 アパルトマンイクシーズ本社ビル ＜交通アクセス＞ 大…,"月給：20万5,000円〜23万円 ※経験・年齢・能力を考慮のうえ、決定致します。 ※試用期間6ヶ月(期間中の…",290万円～330万円
株式会社レジット ,【転職なし／U・Iターン歓迎】 ★渋谷駅・神泉駅より徒歩直ぐの好アクセス♪ ★来年には、更にオフィ…,月給23万円〜37万円以上 ＋ 賞与 ※経験・年齢などを考慮の上、当社規定により優遇。 ※上記には固定残業…,300万円～800万円
株式会社キャリアサービス ,【本社(新橋)や、サテライトオフィス(渋谷、恵比寿、新宿、田町)で働きます！】 ★転勤なし！ ▼本…,月給35万円以上 ＋ 賞与年2回 ＋ 各種手当 ※経験・スキルを考慮し、優遇いたします。,500万円～1000万円
株式会社ナック ,【東京・神奈川・千葉・埼玉・茨城の各拠点で募集中！】 町田 東京都町田市野津田町2400 世田谷…,月給：19万7975円以上＋賞与年4回＋技術給（Max10万円） ※経験・スキル・年齢・売上コミッション・販売…,380万円～600万円
北話エンジニアリング株式会社 ,金沢・白山・七尾・富山・福井・敦賀いずれかに配属します。（希望を考慮） 【電気通信施工業務】 観法…,"月給17万3,000円〜24万8,050円 ※年齢・経験・能力を考慮のうえ決定します 【モデル月収】 月収19万円／…",250万円～350万円
ADlive株式会社 ,◆御堂筋線・中央線・四つ橋線 「本町駅」出口4 より徒歩1分 ◆〒541-0053 大阪府大阪市中…,月給35万円以上＋諸手当 ※月給は、固定残業代 45時間分(8万4千800円以上)を含みます。 ※超過分別途支給…,490万円～630万円
日本獅龍株式会社 ,東京都内のプロジェクト先にて勤務いただきます。 ☆基本的に転勤はございません ☆リモートワーク実施…,月給35万円〜50万円 ※前職や経験、スキルを考慮の上、優遇いたします。 ※試用期間中（３か月）は、月給…,450万円～700万円
株式会社ブレイン・ゲート ,福岡県福岡市中央区舞鶴1-5-6 SKビル 6F 【アクセス】 地下鉄空港線『赤坂駅』より徒歩10…,月給27万円〜 ＋ 諸手当 ※前職の給与や能力・経験を考慮します。 ※最長3ヶ月間の試用期間あり( 待遇同…,390万円～650万円
TM人事労務コンサルティング株式会社 ,〒730-0041 広島県広島市中区小町3-25　三共広島ビル４階,"◆月給: 230,000円〜350,000円 ・230,000円の場合 ※固定残業代含む（42,900円/30時間） ・350,000円の…",初年度年収のデータなし
株式会社メディエイド ,★転勤なし ★リモートワーク可！ ★神田駅徒歩すぐ！ 【本社】 東京都千代田区内神田3-2-1 喜…,年俸制500万円〜900万円 ※年俸の1/12（月額41.6万円〜75万円）を毎月支給します。 ※試用期間3か月あり…,500万円～900万円
株式会社東京テレポートセンター ,※転勤なし 【本社】 東京都江東区青海2-5-10 （テレコムセンタービル3階） ★保有ビルが臨海…,月給27万円〜45万円+諸手当+賞与年2回 ※前職給与・年齢・経験・能力を考慮の上、当社規定により決定い…,450万円～750万円
株式会社ユニゾンベックス ,【転勤なし／「恵比寿駅」より徒歩3分／U・Iターンも歓迎！】 ◆本社／東京都渋谷区恵比寿西1-9-…,月給28万円以上 ※経験・能力・スキルを考慮し決定いたします。 ※試用期間2ヶ月あり（期間中の待遇に変…,360万円～600万円
株式会社大崎コンピュータエンヂニアリング ,【東京情報通信センター】（工事部門） 東京都品川区西五反田3-8-8 NTT大崎営業所 別棟3階…,"月給20万円以上 ※他、残業手当・通勤手当（全額）・養育手当（1人15,000円）なども追加で支給します。住…",300万円～500万円
株式会社インターヨーロッパ ,愛知県、三重県、京都府の各店舗 ※転居を伴う転勤なし ※マイカー通勤可 ★京都の店舗積極採用中！…,月給18万円〜40万円＋各種手当・インセンティブ ※経験・能力を考慮の上、当社規定により優遇いたします…,310万円～700万円
株式会社AMBITION ,＜転勤なし＆状況に応じてリモートワークOK＞ 東京都渋谷区神宮前2丁目34-17 住友不動産原宿ビ…,月給25〜50万円 ※経験・スキル等を考慮し、当社規定により決定いたします。 ※上記には固定残業代（5万…,初年度年収のデータなし
CTW株式会社 ,★アクセス抜群！4駅利用可能 ★転勤なし ★六本木のオシャレなオフィス ★フリーアドレス制 【本社…,月給：25万円以上（※在宅勤務手当、割増賃金、交通費は別途支給） ※経験・年齢・能力を考慮の上、優遇…,300万円～500万円
株式会社バイタリフィ ,【転勤なし／駅近オフィス】 東京都渋谷区恵比寿西1-9-6 アストゥルビル8F 〜アクセス〜 ・各…,月給34万円〜 ※経験・スキルなどを考慮のうえ、決定いたします。 ※試用期間3ヶ月あり。（期間中、待遇…,450万円～800万円
株式会社アイ・エム・ジェイ ,【本社】 東京都港区三田1-4-1 住友不動産麻布十番ビル <アクセス> ○都営地下鉄大江戸線「赤…,年俸制：300万円〜1200万円 ※上記は残業代等各種手当を含みません。また前職・ご経験を考慮の上、当社規…,初年度年収のデータなし
パーソルプロセス＆テクノロジー株式会社 ,◆JR「大阪駅」より徒歩9分 ※U／Iターン歓迎 ※転勤なし 【関西支社】 大阪府大阪市北区堂島浜…,■月給20万円〜25万円 ※前職の給料・経験・能力などを考慮して決定します ※試用期間3ヶ月あり（待遇に…,初年度年収のデータなし
株式会社アパートナー ,【本社】 東京都目黒区上目黒1-16-11 ※コロナウイルスによる自粛期間中は リモートワークが中…,"月給30万円以上＋賞与＋各種手当 ※上記にはみなし残業代10時間分23,113円〜を含みます。 超過分は別途支…",420万円～500万円
株式会社GoingN ,【東京本社・大阪営業所・都内および大阪府内のクライアント先】 ※希望を考慮し決定します。 ※転勤は…,月給:29万円〜50万円＋各種手当＋業績賞与 ※ 試用期間6ヵ月間は契約社員（契約社員期間も給与額は同額）…,400万円～700万円
株式会社エー・ディー・ワークス ,【転勤なし】本社：東京都千代田区内幸町2-2-3　日比谷国際ビル5階 【アクセス】 都営地下鉄 三…,月給21万円〜27万円＋賞与年2回＋諸手当＋長期業績連動手当 ※年齢・経験・能力を最大限考慮の上、決定…,300万円～450万円
株式会社クランピーリアルエステート ,【本社】 東京都中央区築地2-10-6 Daiwa築地駅前ビル9F,【月給】30万円〜50万円 ＋ 賞与年2回 ＋ 各種手当 ※固定残業代（60時間分/97.390円〜）を含みます。 …,420万円～600万円
日本システム技術株式会社 ,【転勤なし】 ★健康経営優良法人2021認定 ★残業月15h以下 ★リモートワーク有 ★品川駅直結…,【月給25.2万円以上】 ＋諸手当(住宅・こども…) ＋賞与年2回(5.4ヵ月/実績) ★前職給与・経験・スキル…,420万円～1000万円
株式会社Def tribe ,本社（大阪市中央区）または、大阪・京都・兵庫にあるプロジェクト先に配属となります。 希望を最大限に…,年俸400万円〜700万円+各種手当 ※経験・能力や希望にあわせて年俸額を決定します ※上記は固定残業手当…,420万円～700万円
株式会社ドルフィンKOTO ,【転勤なし】★複数路線使用可能／新木場駅より徒歩6分！ 〈本社〉 東京都江東区新木場1-4-2 〈…,月給23万円〜26.5万円 ※経験・能力を考慮し決定します。 ※試用期間3ヶ月（同条件）,320万円～400万円
株式会社ディグラ ,【転勤なし／UIターン歓迎】 ★在宅勤務となります ▼ご自宅でのリモートワークです <例> 東京都…,【月給25万〜50万円】＋インセンティブ ★上記金額はスタート時の金額です。 ★経験・スキル等を考慮の上…,300万円～600万円
株式会社ブレインファーム ,【大阪オフィスは積極採用中！】 ＊U・Iターン歓迎、引越し手当も支給します（東京での面接も可能）…,◆年俸 500万円以上 ＋ 業績に応じて決算賞与 ※経験・スキル等を考慮のうえ、決定します ※試用期間中…,500万円～650万円
株式会社ビジュアルリサーチ ,【赤坂駅徒歩5分・転勤なし】※2021年2月に移転したばかりの新オフィスです！ 東京都港区赤坂5-…,月給22万円〜＋交通費＋諸手当 試用期間3ヶ月（給与に変更はございません） ※あくまでも最低限の支給額…,400万円～700万円
株式会社TERASS ,◆首都圏（東京都・埼玉県・神奈川県・千葉県）もしくは関東圏(栃木県・群馬県・茨城県)のお好きなエリ…,【A】フルコミッション制 仲介手数料売上に対し「75％」を報酬として還元 【B】固定月額報酬20万円+仲介…,100万円～2000万円
さんぎょうい株式会社 ,【転勤なし】 本社 東京都新宿区西新宿二丁目4番1号 新宿NSビル6階 【アクセス】 JR線・京王…,月給20万円〜26万円 + 賞与年2回 ※マネジメントクラス採用の場合は26万円以上も可能です。 ※経験等を…,310万円～550万円
ジェントス株式会社 ,【本社】 東京都台東区池之端2-9-7　日殖ビル5F 《アクセス》 東京メトロ千代田線「根津駅」よ…,月給25万円〜35万円 ＋賞与年2回 ※経験・職歴・年齢・前職給与等を考慮し、面談の上、決定します。 ※月…,350万円～550万円
株式会社manebi ,★原則リモートワーク！ ★「神保町駅」「九段下駅」「水道橋駅」より好アクセス！ ★転勤なし ≪住所…,月給41万円〜 ※経験やスキルを考慮した上で決定します。 ※試用期間3ヵ月あり（期間中の条件に変更なし…,初年度年収のデータなし
ForeVision株式会社 ,★転勤なし 東京都中央区築地 5-6-10 浜離宮パークサイドプレイス 15階 ＜アクセス＞ 都営…,【月給】42万5000円〜 ※経験・年齢・スキルなどを考慮の上、当社規定により決定いたします。 ※上記月給…,600万円～800万円
株式会社スキルコネクト ,★転勤なし！ ★池袋駅より徒歩3分！ 【東京本社】 東京都豊島区西池袋1-44-3 栄成ビル6階,〈月給〉24万円〜35万円+インセンティブ ※試用期間3ヶ月あり（条件変更なし） 【インセンティブで成果…,300万円～700万円
株式会社ネクスコ東日本トラスティ ,【U・Iターン歓迎】本社／東京都港区東新橋2-3-17 MOMENTO SHIODOME 6F 各…,月給20万円以上＋諸手当(都市手当、住宅補助、扶養手当等別途支給)＋賞与年2回(前年度実績本給×4.45か月…,初年度年収のデータなし
株式会社Acroネットワーク ,広島県福山市王子町2-4-10 ※転勤なし ※マイカー通勤可,"月給：220,000円〜250,000円 ＋諸手当 ※上記はあくまでも最低保証です ※年齢、経験、能力を考慮の上、…",300万円～400万円
淀屋橋税理士法人 ,【北浜駅から徒歩2分の好立地／転勤なし！】 大阪府大阪市中央区北浜1-1-9 ハウザー北浜ビル5F,◆経験者／ 月給24万円〜＋諸手当＋賞与年3回（平均4ヶ月分） ◆未経験／ 月給19万円〜＋諸手当＋賞与年…,320万円～500万円
藤田螺子工業株式会社 ,豊田事業所：愛知県豊田市吉原町平子26（*自動車通勤OK）,月給20万2800円以上 ※あなたの経験・年齢等を考慮の上、優遇します。,300万円～400万円
株式会社ディヴァイスプロモーション ,【「大阪」「東京」にて同時募集中！】 ★転勤なし／U・Iターン歓迎 ◆大阪本社／大阪府大阪市中央区…,◆月給21万5300円以上 《モデル年収例》 年収450万円（29歳・経験4年／月給27万円+賞与） 年収520万円（…,初年度年収のデータなし
株式会社グランドファンク ,【転勤なし／リモートワーク可／「白金台駅」徒歩3分】 東京都港区白金台4-16-7,"月給200,000円以上 + インセンティブ ※利益の10%をインセンティブとして支給します！ ※試用期間6か月…",400万円～500万円
朝日税理士法人 ,《転勤なし》千代田区【永田町事務所】または、世田谷区【用賀事務所】 【永田町事務所】東京都千代田区…,月給30万円〜80万円 ※経験・能力により優遇いたします。 ※試用期間3ヶ月（同条件）,550万円～1000万円
藤田螺子工業株式会社 ,豊田事業所：愛知県豊田市吉原町平子26（＊自動車通勤可）,月給20万2800円以上 ※経験・年齢等を考慮の上、優遇致します。 ※試用期間3か月、試用期間中の待遇変更…,300万円～400万円
株式会社ネクソン ,【転勤なし！『六本木一丁目駅』直結☆】 東京都港区六本木1-4-5 アークヒルズサウスタワー 〈ア…,月給19万6000円〜27万円　＋賞与2回 ※経験・年齢を考慮のうえ、決定します。 ※見込み残業20時間分相当…,350万円～480万円
Baicells Japan株式会社 ,"《転勤なし／代々木駅より徒歩3分》 東京都渋谷区代々木1-21-12,ヤマノ26ビル 4階 〜アク…",月給45万円〜90万円＋賞与年2回＋諸手当 ＼前職給与よりUPを確約／ ※経験・能力を考慮の上、決定いたし…,600万円～1200万円
株式会社協同システム設計 ,【転勤ナシ／マイカー通勤OK】 本社／大分県大分市畑中二丁目8番55号 ★去年9月に完成したばかり…,月給／20万円〜30万円　＋諸手当 【モデル月収】 28万円（30歳　主任クラス　残業20時間／月） ※年齢…,初年度年収のデータなし
みかど協和株式会社 ,【マイカー通勤OK！ 千葉駅から車で30分・土気駅から車で10分】 【本社】 千葉市緑区大野台1丁…,月給：25万4000円〜32万4000万円 ＋手当、賞与等 ※経験・年齢を考慮の上、当社規定により優遇します。 …,350万円～500万円
MYLAPS Japan株式会社 ,★転勤なし ★渋谷駅より徒歩8分！ ★表参道駅・代官山駅も徒歩圏内！ 東京都渋谷区東1-4-23　…,〈月給〉24万円〜28万円 ※経験・スキルを最大限に考慮のうえ決定します。 ※試用期間3〜6ヶ月あり。期…,初年度年収のデータなし
株式会社KDS ,【本社】 兵庫県神戸市中央区磯辺通3‐1-2 大和地所三宮ビル703F ※2020年10月に移転し…,月給25万円〜35万円 ※経験や能力を考慮した上で、当社規程により優遇します。 ※上記には、みなし残業手…,300万円～420万円
株式会社ジャスティープラント ,【転勤はありません 】 福岡県福岡市中央区薬院1-14-25　つるやビル201 ★自転車通勤ＯＫ！…,月給：23万円〜35万円 + 諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、優遇…,初年度年収のデータなし
三和電子株式会社 ,★転勤なし ★配属は希望を考慮 東京都・神奈川県のいずれかに配属となります。 【本社】 東京都千代…,【経験者】 月給25万円〜36万円＋各種手当 ※その他、経験・能力等を考慮し話し合いの上、決定します。 …,初年度年収のデータなし
株式会社アイエスエフネット ,【転勤なし／UIターン歓迎】 希望に応じて、広島支店または広島市内中心の各プロジェクト先へ配属しま…,"月給 250,000円 〜 400,000円＋諸手当 ※経験・スキルを考慮して決定します ※月給には月19〜21時間分の…",300万円～500万円
株式会社ネクソン ,【転勤なし！『六本木一丁目駅』直結☆】 東京都港区六本木1-4-5 アークヒルズサウスタワー 〈ア…,"月給25万9,000円〜　＋賞与2回 ※経験・年齢を考慮のうえ、決定します。 ※見込み残業20時間分相当の業務…",400万円～600万円
株式会社ストリームメディアコーポレーション ,★転勤なし ★『六本木一丁目駅』直結のグランドタワー勤務 ★リモートワーク実施中 ◆本社 東京都港…,◆月給30万円〜60万円 ☆前職の給料を最大限に考慮します！ ※上記月給には月40時間分の見込残業代含(75…,360万円～700万円
パーソルテクノロジースタッフ株式会社 ,新宿本社または首都圏エリア（東京、神奈川、千葉、埼玉）の各クライアント先での勤務となります。 ★都…,月給23万6000円〜＋賞与年2回＋各種手当など ※経験・能力に応じて決定します ※残業代別途全額支給しま…,初年度年収のデータなし
