企業名,勤務地,給与,初年度年収
ミックスピース株式会社 ,【在宅勤務OK】★駅近★新御徒町徒歩1分／蔵前駅徒歩6分 ■東京都台東区浅草橋3-33-5 ホーユ…,月給22万円〜25万円 ※経験・能力を考慮の上、当社規定により優遇します。 ※試用期間3カ月（試用期間は…,初年度年収のデータなし
グルーコード株式会社 ,【本社】 東京都渋谷区渋谷3-10-19　渋谷MJ-2ビル6F ＜交通アクセス＞ 各線「渋谷駅」1…,■月給25万円以上 ※※当社給与規程に準じて能力や適性、経験を考慮し決定します。 上記給与にはみなし残…,300万円～600万円
アデコ株式会社 ,★転勤なし ★首都圏または関西・東海エリア限定採用 各エリア内の大手・優良企業での勤務となります。…,月給23万9000円〜83万9000円 ＋ 残業代1分単位支給 ＋ 賞与（年2回） 【モデル月収例】 ・20代(構築経験…,350万円～1000万円
スピンシェル株式会社 ,【転勤なし】 ★現在リモートワーク実施中 ★「後楽園」「飯田橋」の2駅6路線からアクセス◎ ★UI…,【月給35万円〜40万円】 ★前職給与・経験・スキル・年齢等を考慮の上、優遇します。 ★上記には月45hの…,420万円～600万円
レック・テクノロジー・コンサルティング株式会社 ,【転居を伴う転勤なし／ほぼフルリモート勤務】 ※勤務地は希望を考慮します！ 【勤務地】 ◆自社作業…,"月給26万円以上＋諸手当＋賞与年2回 ★前職からの給与UP保証 ★残業代は別途100%支給 【""前職給与以上""…",400万円～1000万円
株式会社アイエスエフネット ,【札幌限定採用】 ＜札幌支店＞ 北海道札幌市中央区北1条西3条3丁目 ばらと北1条ビル5階 ---…,月給25.5万円以上 -------------------------------------------- ※経験・スキルを考慮して決定 ※月給…,306万円～500万円
三菱地所株式会社,＜国内＞東京、札幌、仙台、横浜、名古屋、大阪、広島、福岡等 ＜海外＞ニューヨーク、ロンドン、シンガ…,"学部／月給260,000円（20214月新卒初任給実績） 院了／月給300,000円（2021年4月新卒初任給実績） ※実…",初年度年収のデータなし
株式会社アミューズ ,本社（東京オフィス）／東京都渋谷区桜丘町20番1号 アミューズ ヴィレッジ（山梨県・西湖オフィス）…,完全年俸制／300万円以上 ※前職給与・経験・能力などを考慮の上、当社規定により決定します。 【正社員…,300万円～600万円
株式会社公文教育研究会 ,★転勤なし ★東京駅・大手町駅直結 ★丸の内センタービル18階の眺めの良いオフィス勤務 【事務業務…,◆時給1500円＋賞与年2回＋残業代全額支給 《月収例》 ◆月収22万5000円〜24万7500円 時給1500円×7.5…,300万円～330万円
市場株式会社 ,《基本的に転勤なし／兵庫本社、または東京で活躍！》 ★テレワークもOK／U・Iターン歓迎！ 《本社…,◆月給30万円〜40万円 + 諸手当 ※年齢・経験・スキルを十分考慮の上、 　当社規定により優遇いたします…,450万円～600万円
株式会社オプティマイザー ,★カフェのような雰囲気の新オフィスです♪ 【東京本社 『赤坂見附駅』徒歩3分】 ◆東京都港区元赤坂…,月給21万円以上 ※経験・能力・前職給与を考慮のうえ、決定します。 ※残業手当は実際の時間外労働時間に…,初年度年収のデータなし
TIS株式会社 ,＜テレワーク勤務制度あり＞ ●東京本社、豊洲オフィス、大阪本社、名古屋本社 【東京本社】 東京都新…,"月給24万2,000円以上 ※上記金額はあくまで新卒初任給実績です。 ※実際の給与額は、経験・スキルなどを…",500万円～900万円
TIS株式会社 ,＜テレワーク勤務制度あり＞ ●東京本社、豊洲オフィス、大阪本社、名古屋本社 【東京本社】 東京都新…,"月給24万2,000円以上 ※上記金額はあくまで新卒初任給実績です。 ※実際の給与額は、経験・スキルなどを…",500万円～900万円
TIS株式会社 ,＜テレワーク勤務制度あり＞ ●東京本社または豊洲オフィス、及び顧客先 【東京本社】 東京都新宿区西…,"月給24万2,000円以上 ※上記金額はあくまで新卒初任給実績です。 ※実際の給与額は、経験・スキルなどを…",500万円～1000万円
千代田化工建設株式会社 ,【グローバル本社】 神奈川県横浜市西区みなとみらい4丁目6番2号　みなとみらいグランドセントラルタ…,月給25万円〜40万円＋賞与年2回（昨年度実績4ヶ月分） ※経験年数・スキル等を考慮の上、弊社規定により…,初年度年収のデータなし
TMES株式会社 ,【U・Iターンも歓迎！】 あなたの希望を考慮して配属します。慣れ親しんだ土地で働きたいという希望も…,◆月給20万〜39.5万円＋時間外手当（全額支給）＋業績賞与年2回、交替勤務手当 別途支給 ※年齢や経験、…,300万円～600万円
Dreamcloud株式会社 ,★転勤なし／オフィスは青山（外苑前、表参道）！ ■東京本社／東京都港区北青山2丁目14-4 the…,月給：27万円 (見込み残業代40時間分／7万円を含む) ※超過分は別途支給 2年目以降　月給：30万円以上 (…,370万円～400万円
株式会社創源 ,★転勤なし！ ★リモートワーク（在宅ワーク）＆フレックス勤務も可能！ ★馬喰町駅など５駅使える好立…,月給24万〜30万円以上＋残業代全額支給 ■PG：月給24万円以上 ■PL候補：月給27万円以上 ■PM候補：月給…,330万円～700万円
株式会社システムフリージア ,秋葉原本社または新宿、六本木、品川、新橋、大手町、飯田橋、豊洲 ほか （都内近郊を中心とした首都圏…,月給：25万円以上 ※経験・スキル・手がけるプロジェクトにより決定します。 ※上記には固定残業代（月23…,300万円～500万円
株式会社シグマスタッフ ,【本社】 東京都品川区上大崎2-25-2 新目黒東急ビル6階 ※現在は、週1回の在宅勤務を取り入れ…,月給24万円〜32 万円 ＋ 賞与年2回（昨年度実績3カ月分）,339万円～459万円
株式会社ネッドエンジニアリング ,【東京本社・大阪支店・名古屋支店のいずれかでの勤務！】 ※転勤なし、U・Iターン歓迎 ※駅チカでア…,【未経験者】月給21万円〜25万円 【経験者】月給27万円〜35万円 ※経験、年齢、能力を考慮の上決定しま…,初年度年収のデータなし
株式会社セイファート ,★最寄り駅徒歩5分圏内のオフィス ★直行直帰・テレワークもOK！ 希望を考慮し、東京、名古屋、大阪…,"月給256,760円以上＋賞与年2回 ※入社後、試用期間が2ヶ月間あります（期間中の待遇に変更はありません…",300万円～450万円
株式会社サテライトオフィス ,【週の半分はテレワークを実施！】 東京都江東区東陽4-3-1 東陽町信栄ビル4階 東西線「東陽町駅…,年俸制:400万円〜1000万円 ※16分割での支給となります 。 ※経験・スキルに応じ、当社規定内で決定しま…,400万円～1000万円
株式会社ユニペン ,千葉県市原市五井東2-5-5 ※JR内房線・小湊鉄道線「五井駅」徒歩10分 ※マイカー通勤可／駐車…,"■月給240,500円〜378,000円 ※経験・能力を考慮して決定します。 ※試用期間3ヵ月あり（待遇に変化はあ…",330万円～450万円
セブンシーズ・プラス株式会社 ,◆本社または東京の各プロジェクト先 ※リモート化が進んでおり、フルリモートのエンジニアもいます。…,月給25万円〜50万円＋決算賞与年1回（3月）＋諸手当 ※経験・スキルなどを考慮して、優遇します。 【年…,400万円～700万円
株式会社朝日写真ニュース社 ,【転勤なし】【U・Iターン大歓迎】 ◆東京都千代田区六番町13-6 ASビル,◆月給20万5000円〜+営業報奨金+賞与 ※上記は最低保証給与です。 ※6ヵ月の試用期間があります。 （期間…,300万円～450万円
株式会社アイシーイノベーション ,★転居を伴う転勤なし 東京都内（主に23区内）のプロジェクト先に勤務していただきます。 勤務地の希…,"月給250,000円〜390,000円 ※スキル・経験を考慮し当社規定により決定します ※上記給与には20時間分の固…",350万円～530万円
ギバーテイクオール株式会社 ,★自宅★ ※完全在宅勤務のため、あなたのお住まいで働けます！ ※家庭との両立も可能 ☆北海道から沖…,月給25万円〜 ※経験、能力を考慮のうえ決定（直近、30万円の採用実績あり） ※試用期間2〜3ヵ月あり（…,300万円～360万円
トレードシステムズ株式会社 ,大阪府大阪市西区阿波座1-10-14 大阪堂島商品取引所ビル3階 ☆転勤なし！,月給22万2500円〜25万7500円＋時間外手当（全額支給）+諸手当 ※経験・能力を考慮し、決定します。 ※試…,320万円～380万円
株式会社神奈川トスバック ,《「関内駅」から徒歩数分》 神奈川県横浜市中区不老町1-1-5　横浜東芝ビル7F ※案件により直行…,月給：23万円〜 ※経験や年齢・能力に応じて決定します。 ※試用期間6ヶ月あり（期間中の待遇の変動はあ…,350万円～550万円
株式会社アックスコンサルティング ,《転勤なし／恵比寿駅よりすぐ》 ◎仕事の状況に応じて在宅ワークも可能 ◆東京本社／東京都渋谷区恵比…,月給25万円以上 *＼経験者は前職の給与を保証します／* ※経験・年齢・前給を考慮のうえ、当社規定によ…,350万円～500万円
株式会社アクアリーフ ,神奈川県平塚市八重咲町7-28 神奈中八重咲町ビル4F 《アクセス》 JR『平塚駅』西口改札より徒…,月給18万円〜35万円 ※経験・能力・年齢等を考慮の上、当社規定により優遇します。 ※別途残業手当支…,300万円～400万円
株式会社創源 ,★転勤なし！ ★リモートも対応中 ★馬喰町・秋葉原など5駅からアクセス可能な好立地！ 【神田営業所…,■課長（PM候補）：月給32万円以上 ■主任（PL候補）：月給28万円以上 ※当社の条件を満たした上で前給保…,380万円～700万円
AppTime株式会社 ,本社(大阪)または近畿圏内のプロジェクト先 ※勤務先は希望を考慮します 【本社】 大阪府大阪市淀川…,月給28万円〜40万円＋賞与年2回（業績連動/昨年度実績4ヵ月分） ※経験・スキルを考慮して決定します。 …,400万円～500万円
株式会社TMJ ,札幌市中央区大通西5-10 S-BUILDING札幌大通,月給：22万2000円〜27万8160円 時間外労働手当は実績全額支給(1分単位) 【研修期間】 3ヶ月 労働条件は…,初年度年収のデータなし
株式会社ネクストリンク ,東京都渋谷区東1-27-10　渋谷TYビル3F,月給25〜40万円 ※経験・スキル・前職の給与等を考慮し、弊社規定により優遇いたします。 ※上記には固…,初年度年収のデータなし
株式会社利達ソフト ,★転勤なし ★東京本社または首都圏のプロジェクト先での勤務となります。 【本社】 東京都千代田区内…,月給／30万円〜50万円 ※経験・能力・スキル等を考慮し決定します。 ※試用期間3ヵ月（期間中の待遇に変…,350万円～800万円
株式会社サテライトオフィス ,【週の半分はテレワークを実施！】 東京都江東区東陽4-3-1 東陽町信栄ビル4階 東西線「東陽町駅…,年俸制:400万円〜1000万円 ※16分割での支給となります 。 ※経験・スキルに応じ、当社規定内で決定しま…,400万円～1000万円
インターリンク株式会社,【本社オフィス】 東京都千代田区九段北1丁目4-1 日本地所ブルックスビル9階,"月給 250,000円〜450,000円",初年度年収のデータなし
株式会社オービス ,【転勤なし／マイカー通勤OK】 本社 広島県福山市松永町6丁目10-1 JR「松永」駅より徒歩で1…,"月給：177,000円〜290,000円 + 諸手当 ※経験・年齢・能力を考慮の上、決定します",260万円～440万円
サニー・トレーディング株式会社 ,▼神奈川県・大阪府・愛知県のいずれかで勤務▼ ※希望・お住まいを考慮して配属します！ 【営業部】…,【月給】 22万5000円〜＋営業手当（月2万〜） ※経験やスキルに応じて、当社規定により決定いたします。 …,310万円～800万円
株式会社オービス ,【転勤なし】 希望や居住地に応じて（東京・千葉・名古屋・大阪・岡山・福山・広島・豊栄）のいずれかの…,"—【東京】 月給：245,000〜425,000円（一律地域手当含む）+諸手当 ※月給に9〜16h分の固定残業代（28,0…",300万円～500万円
クラウドゲート株式会社 ,【東京本社／転勤なし】 東京都千代田区神田神保町3-5　住友不動産九段下ビル2F ＊「九段下駅」よ…,月給24万円以上 ※経験・能力を考慮し決定します。 ※試用期間3ヶ月（条件面の変更なし） ※月給には、…,300万円～500万円
株式会社HYBES ,《転勤なし／在宅ワークOK》 東京都港区北青山1-2-3 青山ビル6階 〜アクセス〜 銀座線・半蔵…,月給21.5万円〜45万円＋賞与年2回＋諸手当 ※経験・能力を考慮の上、決定いたします。 ★20代社員の平均…,350万円～600万円
株式会社HYBES ,《転勤なし／在宅ワークOK》 東京都港区北青山1-2-3 青山ビル6階 〜アクセス〜 銀座線・半蔵…,月給21.5万円〜45万円＋賞与年2回＋諸手当 ※経験・能力を考慮の上、決定いたします。 ★20代社員の平均…,350万円～600万円
株式会社ブレイン・ゲート ,福岡県福岡市中央区舞鶴1-5-6 SKビル 6F 【アクセス】 地下鉄空港線『赤坂駅』より徒歩10…,月給27万円〜 ＋ 諸手当 ※前職の給与や能力・経験を考慮します。 ※最長3ヶ月間の試用期間あり( 待遇同…,390万円～650万円
株式会社宏和 ,【転勤なし！U・Iターン歓迎！】 大阪府東大阪市長田東1-7-22 《アクセス》 大阪メトロ・近鉄…,月給20万円〜30万円(一律手当含む) ＋ 諸手当 ＋ 賞与(年2回) ※経験・年齢・スキルを考慮し、決定しま…,300万円～500万円
株式会社メディエイド ,★転勤なし ★リモートワーク可！ ★神田駅徒歩すぐ！ 【本社】 東京都千代田区内神田3-2-1 喜…,年俸制500万円〜900万円 ※年俸の1/12（月額41.6万円〜75万円）を毎月支給します。 ※試用期間3か月あり…,500万円～900万円
株式会社ユニゾンベックス ,【転勤なし／「恵比寿駅」より徒歩3分／U・Iターンも歓迎！】 ◆本社／東京都渋谷区恵比寿西1-9-…,月給28万円以上 ※経験・能力・スキルを考慮し決定いたします。 ※試用期間2ヶ月あり（期間中の待遇に変…,360万円～600万円
株式会社大崎コンピュータエンヂニアリング ,【東京情報通信センター】（工事部門） 東京都品川区西五反田3-8-8 NTT大崎営業所 別棟3階…,"月給20万円以上 ※他、残業手当・通勤手当（全額）・養育手当（1人15,000円）なども追加で支給します。住…",300万円～500万円
CTW株式会社 ,★アクセス抜群！4駅利用可能 ★転勤なし ★六本木のオシャレなオフィス ★フリーアドレス制 【本社…,月給：25万円以上（※在宅勤務手当、割増賃金、交通費は別途支給） ※経験・年齢・能力を考慮の上、優遇…,300万円～500万円
名三工業株式会社 ,【社用車通勤OK／直行直帰OK】 【本社】愛知県名古屋市千種区内山1-23-7 車道駅より徒歩7分…,"【高卒】 月給:17万円〜＋賞与＋業績賞与あり 【大卒】 月給:20万5,000円〜＋賞与＋業績賞与あり ※経…",350万円～420万円
Network Engineering株式会社 ,《 UIターン歓迎 》 希望を最大限考慮し、鹿児島、広島、 福岡、熊本、宮崎、佐賀、大分、 東京、…,＜転勤なし/地域限定勤務＞ 月給21万円〜30万円 ＜転勤あり/全国勤務＞ 月給26万円〜45万円 ※経験・能…,370万円～675万円
富士山の銘水株式会社 ,東京、千葉、神奈川、埼玉の商業施設やイベント会場 ※現場への直行直帰になります。 ※遠方の現場先へ…,月給:23万円以上＋チームインセンティブ＋賞与年2回 ※経験・能力を考慮の上、当社規定により決定いたし…,300万円～450万円
日本システム技術株式会社 ,【転勤なし】 ★健康経営優良法人2021認定 ★残業月15h以下 ★リモートワーク有 ★品川駅直結…,【月給25.2万円以上】 ＋諸手当(住宅・こども…) ＋賞与年2回(5.4ヵ月/実績) ★前職給与・経験・スキル…,420万円～1000万円
株式会社サンドリア ,《★千代田区の本社で積極採用》 《★竹橋駅徒歩3分オフィス》 《★転勤なし》 《★U・Iターン歓迎…,月給 25万円以上 ＋(インセンティブ） ※試用期間1ヶ月あり（給与に変更はありません） ※みなし残業手当…,350万円～500万円
カゴヤ・ジャパン株式会社 ,《地下鉄「烏丸御池」駅 6番出口より徒歩1分／転勤なし》 京都市中京区三条通烏丸西入御倉町85-1…,"月給19万4,000円〜24万1,000円＋諸手当＋賞与 月給例 一般事務…月給19万4,000円〜23万5,000円 カスタマ…",初年度年収のデータなし
横尾器械株式会社 ,※マイカー通勤OK ※転勤なし ＆ UIターン歓迎 福岡県北九州市小倉北区井堀3-22-10 【転…,月給22万円〜25万円 ＋ 諸手当 ※年齢やスキル・経験などを考慮し決定します。 ※試用期間3ヶ月有（待遇…,初年度年収のデータなし
株式会社ドルフィンKOTO ,【転勤なし】★複数路線使用可能／新木場駅より徒歩6分！ 〈本社〉 東京都江東区新木場1-4-2 〈…,月給23万円〜26.5万円 ※経験・能力を考慮し決定します。 ※試用期間3ヶ月（同条件）,320万円～400万円
株式会社クオンテックス ,◆大阪本社・京都・神戸・名古屋・福岡・東京いずれかの各拠点、または各地域におけるプロジェクト先での…,◆月給25万円〜50万円 ※経験・スキル・年齢などに応じて相談に応じます ※固定残業代20時間分（5万円〜1…,300万円～700万円
株式会社アットマーク・ソリューション ,大阪・東京同時募集！ ・本社 大阪府大阪市中央区安堂寺町2-1-10　ベルテ谷町2F 《アクセス》…,月給40万円〜 + 賞与2回 試用期間6ヶ月あり（待遇面の変更なし・期間内は契約社員） ※試用期間の終了後…,500万円～750万円
株式会社カミナリゲームス ,【転勤なし】東京都台東区三筋2丁目22番4号 サンティーエ三筋 201 ＊都営大江戸線、つくばエク…,月給：22万円以上 ※経験・能力を考慮して決定いたします。 ※試用期間6ヶ月あり（待遇は変わりません） …,初年度年収のデータなし
開発虎ノ門コンサルタント株式会社 ,【100%希望制／転勤なし】 ※NEXCO事務所にはマイカー・自転車通勤OK！通勤用の社用車貸与あ…,【経験者】 月給30万円〜80万円 ★経験者は前職給与を最大限考慮します！ ★中途入社の社員はほとんど大…,450万円～1000万円
さんぎょうい株式会社 ,【転勤なし】 本社 東京都新宿区西新宿二丁目4番1号 新宿NSビル6階 【アクセス】 JR線・京王…,月給25万円〜40万円 + 賞与年2回 ※経験等を考慮の上、優遇いたします。 ※時間外手当は上記に含まず、…,350万円～550万円
株式会社ディグラ ,【転勤なし／UIターン歓迎】 ★在宅勤務となります ▼ご自宅でのリモートワークです <例> 東京都…,【月給25万〜50万円】＋インセンティブ ★上記金額はスタート時の金額です。 ★経験・スキル等を考慮の上…,300万円～600万円
千代田エナメル金属株式会社 ,2駅使える好立地♪ ▼所在地 東京都江東区亀戸1-8-8　大樹生命亀戸ビル8F ▼アクセス 亀戸駅…,月給32万円以上＋昼食手当・家族手当・住宅手当・職務手当・資格手当あり ※前職、経験、能力を最大限考…,480万円～750万円
株式会社ビジュアルリサーチ ,【赤坂駅徒歩5分・転勤なし】※2021年2月に移転したばかりの新オフィスです！ 東京都港区赤坂5-…,月給22万円〜＋交通費＋諸手当 試用期間3ヶ月（給与に変更はございません） ※あくまでも最低限の支給額…,400万円～700万円
株式会社TERASS ,◆首都圏（東京都・埼玉県・神奈川県・千葉県）もしくは関東圏(栃木県・群馬県・茨城県)のお好きなエリ…,【A】フルコミッション制 仲介手数料売上に対し「75％」を報酬として還元 【B】固定月額報酬20万円+仲介…,100万円～2000万円
さんぎょうい株式会社 ,【転勤なし】 本社 東京都新宿区西新宿二丁目4番1号 新宿NSビル6階 【アクセス】 JR線・京王…,月給20万円〜26万円 + 賞与年2回 ※マネジメントクラス採用の場合は26万円以上も可能です。 ※経験等を…,310万円～550万円
ピットクルー株式会社 ,【札幌・仙台・東京・名古屋・北九州いずれかの募集】 ★希望勤務地での選考を実施します！ ★希望勤務…,月給20万円〜29万円 ※スキル・経験・能力に応じて決定いたします。 ※試用期間3ヵ月間も同条件です。 …,260万円～380万円
ForeVision株式会社 ,★転勤なし 東京都中央区築地 5-6-10 浜離宮パークサイドプレイス 15階 ＜アクセス＞ 都営…,【月給】42万5000円〜 ※経験・年齢・スキルなどを考慮の上、当社規定により決定いたします。 ※上記月給…,600万円～800万円
株式会社 askme ,【転勤なし！駅チカでアクセス抜群♪】 大阪または東京での勤務となります ※勤務先は希望に応じます…,【ディレクター】月給28万円〜40万円 ＋ 交通費・残業代全額支給など 【アシスタントディレクター】月給2…,350万円～600万円
株式会社ネクスコ東日本トラスティ ,【U・Iターン歓迎】本社／東京都港区東新橋2-3-17 MOMENTO SHIODOME 6F 各…,月給20万円以上＋諸手当(都市手当、住宅補助、扶養手当等別途支給)＋賞与年2回(前年度実績本給×4.45か月…,初年度年収のデータなし
淀屋橋税理士法人 ,【北浜駅から徒歩2分の好立地／転勤なし！】 大阪府大阪市中央区北浜1-1-9 ハウザー北浜ビル5F,◆経験者／ 月給24万円〜＋諸手当＋賞与年3回（平均4ヶ月分） ◆未経験／ 月給19万円〜＋諸手当＋賞与年…,320万円～500万円
株式会社FPC ,【東京オフィス】 東京都港区赤坂1丁目3番5号 赤坂アビタシオンビル8F 【大阪オフィス】 大阪府…,月給24万円〜 33万円+ 別途手当支給 ※経験・能力を考慮の上、当社規定により優遇します。 ※上記月給に…,300万円～500万円
株式会社ディヴァイスプロモーション ,【「大阪」「東京」にて同時募集中！】 ★転勤なし／U・Iターン歓迎 ◆大阪本社／大阪府大阪市中央区…,◆月給21万5300円以上 《モデル年収例》 年収450万円（29歳・経験4年／月給27万円+賞与） 年収520万円（…,初年度年収のデータなし
株式会社アーキビルド ,＜東京本社＞ 東京都千代田区東神田3-1-2 ユニゾ東神田三丁目ビル 7F ＜アクセス＞ ◆JR線…,月給25万〜35万円（一律手当込み） ※月20時間分の固定残業代3万円〜4万円を含む ※超過分は別途支給いた…,450万円～600万円
朝日税理士法人 ,《転勤なし》千代田区【永田町事務所】または、世田谷区【用賀事務所】 【永田町事務所】東京都千代田区…,月給30万円〜80万円 ※経験・能力により優遇いたします。 ※試用期間3ヶ月（同条件）,550万円～1000万円
Baicells Japan株式会社 ,"《転勤なし／代々木駅より徒歩3分》 東京都渋谷区代々木1-21-12,ヤマノ26ビル 4階 〜アク…",月給45万円〜90万円＋賞与年2回＋諸手当 ＼前職給与よりUPを確約／ ※経験・能力を考慮の上、決定いたし…,600万円～1200万円
フロンティアコンストラクション＆パートナーズ株式会社 ,★田町駅より徒歩1分！ ★転勤なし 【本社】 東京都港区芝５−３３−１森永プラザビル１２階,月給：26万円〜36万円 + 賞与 ※経験・能力・スキル等を考慮の上、当社規定により決定します。 ※上記月…,350万円～450万円
三和事務機販売株式会社 ,◎本社／福島県郡山市堤1丁目82番地 ◎福島営業所／福島県福島市成川字杵清水32-1 ※福島営業所…,"月給：215,000円〜265,000円 ※試用期間6ヵ月間も同条件 ※経験、年齢等を考慮し当社規定により優遇しま…",初年度年収のデータなし
株式会社カジメイク ,【 埼玉・大阪いずれかの営業所での勤務 】 東京営業所／埼玉県さいたま市大宮区上小町1120-7…,◆月給20万円〜30万円 ※経験・能力等を考慮し、当社規定により決定します ※試用期間は6ヶ月です（給与…,初年度年収のデータなし
株式会社エージェントマスター ,【大阪（本社）での募集中！】 ◆大阪本社／大阪府大阪市北区堂島1-5-17 堂島グランドビル3F…,月給24万円〜＋各種手当（禁煙手当・旅行手当など）＋賞与年2回 ※経験・スキルを考慮の上、当社規定に…,250万円～400万円
株式会社システムオリジン ,＜転勤なし＞ 静岡本社／静岡県静岡市清水区天神1-3-12 ※在宅勤務（テレワーク）も積極的に導入…,月給20万円〜30万円（一律手当含む）＋その他の諸手当 ※試用期間3カ月あり。待遇は変わりません。 ※経…,300万円～400万円
株式会社GreenFlash ,【転勤なし／在宅勤務も導入中！】 本社／東京都中野区本町2-2-11　FLOOR AND WALL…,月給25万円〜30万円 ※経験・能力・前給などを考慮の上、決定いたします ★試用期間1年間あり。 その間は…,350万円～500万円
株式会社ファズム ,【転勤なし／栄駅・伏見駅から徒歩圏内の好立地】 愛知県名古屋市中区栄2-6-1　RT白川ビル8階…,"月給237,000円〜474,000円 ※経験やスキルを考慮し決定いたします。 ※上記は固定残業代(20時間分／32,0…",330万円～660万円
上海中和軟件有限公司 ,★転勤なし ★U・Iターン歓迎 ★テレワーク実施中 ◆全国(東京23区、神奈川県横浜市、愛知県名古…,年俸：540万円〜1200万円 ※年俸額の1/12を毎月支給（月額45万円〜100万円） ※経験・スキル・年齢を考慮…,540万円～1200万円
株式会社 askme ,【転勤なし！駅チカでアクセス抜群♪】 大阪または東京での勤務となります ※勤務先は希望に応じます…,◆月給23万円以上＋諸手当 ※経験・スキル・前職の給与を考慮し、決定します ※3ヶ月の試用期間がありま…,300万円～550万円
株式会社D.S.C ,【転勤なし／U・Iターン歓迎／直行直帰OK(※)／借上社宅あり】 館林営業所／群馬県館林市北成島町…,【月給】18万円〜35万円＋諸手当 ※年齢・資格・経験・能力・前職給与などを考慮して、 　当社規定によ…,400万円～500万円
北村会計事務所 ,【谷町六丁目駅・松屋町駅より徒歩3分】 ◎転勤なし・UIターン歓迎 ◆大阪府大阪市中央区谷町6-1…,◆月給25〜40万円 + 賞与2回 ※経験・年齢を考慮の上、当社規定により優遇いたします ※試用期間3ヶ月あ…,350万円～560万円
株式会社ポニーキャニオン ,《東京都港区★転勤なし★アクセス抜群★U・Iターン歓迎》 ☆2019年5月に新築の一棟ビルへ移転し…,年俸制350〜700万円 ＋ 期末賞与 ※あなたの年齢・経験・能力を考慮のうえ、優遇いたします。 ※上記に…,350万円～700万円
株式会社エージェントマスター ,【大阪（本社）・東京で募集中！】 ◆大阪本社／大阪府大阪市北区堂島1-5-17 堂島グランドビル3…,月給21万円〜＋各種手当（禁煙手当・旅行手当など）＋賞与年2回 ※経験・スキルを考慮の上、当社規定に…,250万円～400万円
株式会社リードウェイ ,【本社（自社内開発）】or【プロジェクト先】 ★勤務地は希望を最大限考慮！ ★転勤はありません！…,【経験者】 月給25万円~40万円+残業手当(100％支給) ※経験・能力を考慮し決定 【未経験者】 月給20万円…,300万円～600万円
株式会社アクティブフュージョンズ ,★リモートワーク・時差通勤を推奨！U・Iターン歓迎。 大阪府内または一都三県(東京・神奈川・千葉・…,月給26万円〜50万円＋賞与（年2回）＋各種手当 ★月収想定：31万円〜56万円 ※試用期間3ヶ月（同条件） …,400万円～650万円
イオンリチウムエナジー株式会社 ,転勤なし！愛知・岐阜・三重・静岡の募集 ◆愛知支店 名古屋市中区丸の内2-16-3 丸の内ATビル…,月給40万5000円以上＋手当＋インセンティブ ※経験・年齢を考慮の上、優遇いたします。 ※試用期間2ヶ月…,550万円～1000万円
株式会社エフ・エム ,大阪・東京での同時募集！京阪神・関東でのプロジェクト先が中心です 【転勤なし】 ＜関西営業所＞ 大…,月給25万円〜45万円 ※経験・能力等を考慮の上、決定します ※試用期間3ヶ月あり（待遇は変わりません） …,350万円～600万円
JP損保サービス株式会社 ,★転勤なし ★東京本社勤務 〈住所〉 東京都千代田区九段南4-7-15　JPR市ヶ谷ビル4F 〈ア…,月給20万3800円〜 〈モデル月収／25歳・大卒・他社経験3年〉 月給20万3800円+諸手当6.7万円(住居手当、…,430万円～550万円
株式会社ロマック ,《駅徒歩約5分でアクセス良好！》 【神奈川／東京／埼玉いずれかの支店に配属します】 ※本人の希望を…,月給18万円〜30万円＋各種手当＋賞与年2回（前年度実績:1〜最大4ヵ月分） ※経験・年齢・能力等を考慮し…,250万円～450万円
株式会社日立リアルエステートパートナーズ ,★U/Iターン歓迎！ 千葉県茂原市早野2648番地1,"月給：217,000円〜 ※上記は2021年大卒新卒初任給実績となります。 ※給与につきましては、年齢・経験な…",400万円～450万円
株式会社クオーレ ,東京都中央区日本橋馬喰町1丁目11番15号 ウィステリア日本橋馬喰町　1階 東日本橋、馬喰横山駅か…,"月給272,000円〜 ※年齢、経験、能力を考慮の上、当社規程により決定いたします。",初年度年収のデータなし
日新興業株式会社 ,複数路線が通る神田駅スグの好立地！ ▼所在地 東京都千代田区神田須田町1-26-5 ▼アクセス 銀…,"月給201,500円〜＋賞与年2回（昨年実績4.5か月分） ※上記はあくまでも新卒の最低保証金額です。 ※経験…",300万円～500万円
三共商事株式会社 ,北関東営業所・埼玉営業所・神奈川営業所のいずれか ※あなたの希望を優先します。 ※転勤はありません…,月給25万円〜35万円（試用期間3ヶ月／待遇に変更はありません） ※経験・年齢を考慮の上、当社規定により…,350万円～450万円
三協化成株式会社 ,京都府福知山市長田野町1-58-1(福知山事業所) ※マイカー通勤OKです,"月給210,000円〜500,000円 ※経験等を考慮の上、当社規定により決定します",初年度年収のデータなし
三菱地所コミュニティ株式会社 ,本社（東京）・大阪・札幌のいずれかへの配属となります。 ※勤務地は、希望を考慮します。 ※異動・転…,月給25万円〜36万円（一律手当含む） ※経験・年齢を考慮の上、当社規定により優遇します。 【モデル年…,450万円～700万円
公益情報システム株式会社 ,◆転勤なし・稲毛駅徒歩1分の好立地◆ 【本社】 千葉県千葉市稲毛区小仲台2-5-2　第一大越ビル3…,月給22万円〜32万円 ＋賞与年2回 等 ＜年収例＞ 430万円（32歳・入社6年） 520万円（44歳・入社3年） …,350万円～450万円
